,transaction_time,quantity,open,high,low,close,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
11137,2024-03-04 20:48:30,259.561,67196.5,67219.4,67180.4,67203.1,67203.1,2.332,67203.2,1.137
11138,2024-03-04 20:49:00,312.681,67203.2,67324.0,67196.0,67273.6,67273.6,2.711,67273.7,1.052
11139,2024-03-04 20:49:30,144.124,67273.7,67305.1,67208.1,67303.0,67302.9,0.853,67303.0,4.598
11140,2024-03-04 20:50:00,134.084,67303.0,67323.3,67263.8,67280.4,67280.0,0.702,67280.1,6.177
11141,2024-03-04 20:50:30,137.371,67280.0,67313.4,67263.8,67313.4,67313.3,10.617,67313.4,0.093
11142,2024-03-04 20:51:00,71.526,67313.5,67328.0,67291.4,67318.8,67318.7,3.101,67318.8,0.965
11143,2024-03-04 20:51:30,113.627,67318.8,67340.0,67291.4,67328.8,67328.7,1.206,67328.8,1.916
11144,2024-03-04 20:52:00,101.418,67328.7,67359.8,67313.4,67359.6,67359.6,3.285,67359.7,2.64
11145,2024-03-04 20:52:30,163.665,67359.6,67383.4,67291.4,67303.9,67303.9,1.462,67304.0,2.755
11146,2024-03-04 20:53:00,75.615,67304.0,67351.7,67288.4,67330.9,67330.9,1.668,67331.0,4.322
11147,2024-03-04 20:53:30,74.703,67331.0,67380.0,67330.9,67354.0,67353.9,1.396,67354.0,4.606
11148,2024-03-04 20:54:00,228.964,67353.9,67424.2,67294.1,67371.5,67371.5,2.015,67371.6,1.217
11149,2024-03-04 20:54:30,246.931,67371.5,67438.6,67369.2,67411.5,67411.5,1.706,67411.6,5.148
11150,2024-03-04 20:55:00,111.779,67411.0,67444.4,67378.3,67444.3,67444.3,9.077,67444.4,0.116
11151,2024-03-04 20:55:30,126.917,67444.3,67500.0,67444.3,67484.9,67484.9,3.612,67485.0,2.996
11152,2024-03-04 20:56:00,745.378,67485.0,67620.4,67470.8,67604.5,67604.5,1.203,67604.6,1.476
11153,2024-03-04 20:56:30,441.746,67604.6,67645.0,67565.9,67645.0,67644.9,4.051,67645.0,2.359
11154,2024-03-04 20:57:00,529.783,67644.9,67718.5,67620.0,67710.7,67708.0,0.029,67708.1,8.428
11155,2024-03-04 20:57:30,312.269,67708.0,67758.5,67700.0,67731.3,67731.3,0.971,67731.4,4.976
11156,2024-03-04 20:58:00,556.486,67731.4,67777.0,67706.7,67763.3,67763.3,2.072,67763.4,2.353
11157,2024-03-04 20:58:30,350.029,67763.3,67802.6,67735.2,67789.6,67789.6,2.405,67789.7,1.32
11158,2024-03-04 20:59:00,369.533,67789.6,67794.3,67604.3,67604.4,67604.3,4.299,67604.4,2.017
11159,2024-03-04 20:59:30,1052.791,67604.3,67638.2,67417.2,67485.9,67485.8,3.577,67485.9,1.217
11160,2024-03-04 21:00:00,937.899,67485.9,67485.9,67286.4,67411.2,67411.1,8.459,67411.2,11.455
11161,2024-03-04 21:00:30,192.825,67411.1,67471.9,67402.0,67445.6,67445.5,0.042,67445.6,6.064
11162,2024-03-04 21:01:00,511.933,67445.5,67575.7,67417.6,67569.1,67569.1,4.181,67569.2,6.672
11163,2024-03-04 21:01:30,271.72700000000003,67569.2,67569.2,67467.7,67476.5,67476.4,3.338,67476.5,1.203
11164,2024-03-04 21:02:00,159.586,67476.5,67531.8,67474.5,67506.4,67506.3,1.246,67506.4,0.348
11165,2024-03-04 21:02:30,206.538,67506.4,67510.3,67435.8,67451.5,67451.5,1.323,67451.6,2.469
11166,2024-03-04 21:03:00,188.867,67451.6,67507.4,67443.8,67502.3,67502.2,2.568,67502.3,4.869
11167,2024-03-04 21:03:30,1098.857,67502.3,67711.6,67502.3,67606.3,67604.5,0.002,67604.6,1.008
11168,2024-03-04 21:04:00,181.073,67604.5,67614.8,67518.3,67531.2,67531.2,0.441,67531.3,2.697
11169,2024-03-04 21:04:30,225.456,67531.3,67560.3,67469.3,67481.6,67481.5,1.985,67481.6,2.95
11170,2024-03-04 21:05:00,129.615,67481.6,67533.3,67463.0,67523.7,67523.7,0.86,67523.8,4.154
11171,2024-03-04 21:05:30,150.176,67523.7,67523.7,67458.2,67458.2,67458.1,1.986,67458.2,2.078
11172,2024-03-04 21:06:00,538.947,67458.2,67474.7,67341.5,67428.9,67428.9,1.685,67429.0,7.776
11173,2024-03-04 21:06:30,172.75,67429.0,67429.0,67346.1,67351.3,67351.3,3.413,67351.4,1.778
11174,2024-03-04 21:07:00,161.562,67351.4,67423.9,67340.4,67353.3,67353.2,3.179,67353.3,3.014
11175,2024-03-04 21:07:30,142.748,67353.3,67403.2,67350.4,67396.9,67396.9,1.755,67397.0,2.446
11176,2024-03-04 21:08:00,125.969,67397.0,67404.0,67320.0,67338.3,67338.3,1.509,67338.4,5.576
11177,2024-03-04 21:08:30,104.577,67338.3,67377.7,67323.1,67361.8,67361.8,0.222,67361.9,7.104
11178,2024-03-04 21:09:00,170.998,67361.9,67371.2,67311.0,67325.2,67325.2,1.86,67325.3,9.228
11179,2024-03-04 21:09:30,213.579,67325.3,67326.2,67281.0,67318.0,67318.0,5.344,67318.1,0.995
11180,2024-03-04 21:10:00,383.512,67318.1,67320.0,67222.4,67262.9,67262.8,0.155,67262.9,4.943
11181,2024-03-04 21:10:30,231.754,67262.9,67310.1,67240.8,67258.4,67258.3,3.511,67258.4,1.832
11182,2024-03-04 21:11:00,185.668,67258.5,67279.8,67218.2,67235.3,67235.2,1.016,67235.3,8.165
11183,2024-03-04 21:11:30,108.462,67235.2,67255.0,67218.7,67230.4,67230.3,4.709,67230.4,0.368
11184,2024-03-04 21:12:00,209.214,67230.3,67313.7,67214.4,67300.0,67300.0,0.34,67300.1,9.589
11185,2024-03-04 21:12:30,199.319,67300.1,67325.8,67207.0,67213.9,67213.9,3.957,67214.0,2.378
11186,2024-03-04 21:13:00,343.534,67213.9,67231.2,67149.7,67149.8,67149.7,1.732,67149.8,6.351
11187,2024-03-04 21:13:30,940.965,67149.7,67149.7,67037.3,67106.0,67105.9,5.963,67106.0,0.63
11188,2024-03-04 21:14:00,397.168,67105.9,67210.7,67092.7,67210.0,67210.0,14.202,67210.1,0.356
11189,2024-03-04 21:14:30,238.159,67210.1,67246.7,67202.4,67222.1,67222.1,2.571,67222.2,0.897
11190,2024-03-04 21:15:00,327.849,67222.2,67238.2,67168.7,67170.7,67170.7,0.051,67170.8,6.586
11191,2024-03-04 21:15:30,245.619,67170.8,67170.8,67080.0,67110.8,67110.7,2.436,67110.8,0.203
11192,2024-03-04 21:16:00,260.817,67110.9,67236.3,67090.0,67192.6,67192.5,1.061,67192.6,1.428
11193,2024-03-04 21:16:30,109.762,67192.5,67192.6,67107.9,67136.8,67136.7,7.679,67136.8,0.812
11194,2024-03-04 21:17:00,158.468,67136.8,67175.9,67126.4,67154.5,67154.5,0.99,67154.6,3.518
